label,count,mean,std,min,25%,50%,75%,max
Case,248680.0,0.09780544766069676,0.7351386751047176,-3.537229471609282,-0.3961864589465224,0.09884122093184262,0.5944980547215207,3.3452187632215145
Control,248715.0,0.983939680721605,0.7326240941976262,-2.4647186891846014,0.49131678910686005,0.9837345418206904,1.4794872784406432,4.403173893398404
